symbol,date,open,close,high,low,volume
AAPL,2026-03-02 00:00:00+00:00,262.44,264.72,266.53,260.2,41576035.0
AAPL,2026-03-03 00:00:00+00:00,263.48,263.75,265.56,260.13,37994695.0
AAPL,2026-03-04 00:00:00+00:00,264.65,262.52,266.15,261.42,39258957.0
AAPL,2026-03-05 00:00:00+00:00,260.745,260.29,261.555,257.25,49424671.0
AAPL,2026-03-06 00:00:00+00:00,258.74,257.46,258.76,254.37,40628988.0
AAPL,2026-03-09 00:00:00+00:00,255.69,259.88,261.15,253.6805,37958303.0
AAPL,2026-03-10 00:00:00+00:00,257.695,260.83,262.48,256.95,26403306.0
AAPL,2026-03-11 00:00:00+00:00,261.09,260.81,262.13,259.55,26131800.0
AAPL,2026-03-12 00:00:00+00:00,258.64,255.76,258.95,254.18,40132517.0
AAPL,2026-03-13 00:00:00+00:00,255.4,250.12,256.33,249.52,34193754.0
AAPL,2026-03-16 00:00:00+00:00,252.105,252.82,253.885,249.88,30091880.0
AAPL,2026-03-17 00:00:00+00:00,253.0785,254.23,255.1299,252.18,27556024.0
AAPL,2026-03-18 00:00:00+00:00,252.625,249.94,254.94,249.0,34652568.0
AAPL,2026-03-19 00:00:00+00:00,249.4,248.96,251.83,247.3,34568663.0
AAPL,2026-03-20 00:00:00+00:00,248.11,247.99,249.1999,246.0,87981315.0
AAPL,2026-03-23 00:00:00+00:00,253.99,251.49,254.56,250.28,37465587.0
AAPL,2026-03-24 00:00:00+00:00,250.49,251.64,254.825,249.55,27882961.0
AAPL,2026-03-25 00:00:00+00:00,254.1,252.62,255.0,251.6,28436700.0
AAPL,2026-03-26 00:00:00+00:00,251.995,252.89,257.0,250.775,41331888.0
AAPL,2026-03-27 00:00:00+00:00,253.91,248.8,255.493,248.07,46525772.0
AAPL,2026-03-30 00:00:00+00:00,249.995,246.63,250.84,245.51,38248670.0
AAPL,2026-03-31 00:00:00+00:00,247.89,253.79,255.48,247.101,48770963.0
AMZN,2026-03-02 00:00:00+00:00,204.55,208.39,209.72,203.48,43410499.0
AMZN,2026-03-03 00:00:00+00:00,203.23,208.73,209.178,202.48,42680032.0
